claim_id,short_name,original_classification,revised_classification,strongest_antecedents,strongest_support,strongest_contradictions,inherited_mechanism,framework_delta_hypothesis,required_revision,required_test,confidence,public_wording
OA-001,Interdiction recurrence,Derived synthesis,Established problem family; conditional synthesis,L05-001;L05-002;L03-001;L03-003;L09-001;L16-002,L03-001;L04-003;L05-004;L16-003,L05-001;L05-002;L02-006,"Physical attack or dismantlement can delay a program, but knowledge, motive, suppliers, organizational learning, and material pathways determine whether it recurs.","Treat recurrence state, restart floor, adaptation, and grievance as first-class program variables and evaluate intervention through the post-action threat state.",Replace categorical wording with a conditional claim: interdiction is nonterminal unless it also changes one or more recurrence determinants for the relevant horizon.,"Historical intervention dataset coded for delay, restart, concealment change, supplier substitution, grievance, and long-run termination.",High that the problem is established; medium that the integrated recurrence state adds useful operational structure.,Prior art is strong. Breakout Parity operationalizes recurrence as a control state rather than claiming that recurrence was newly identified.
OA-002,Breakout-parity inequality,Framework-specific control criterion,Integration hypothesis with strong antecedents,L01-001;L01-003;L04-001;L04-002;L07-001;L08-001;L18-002,L04-001;L04-002;L04-004;L08-002;L18-002,L01-005;L04-002;L10-001;L14-001;L14-006,"Safeguards timeliness, coercive bargaining, latency, escalation, and response credibility all determine whether a program creates usable leverage.","Unifies technical detection, adjudication, and reversible-response latency against time to coercive advantage, then extends the condition to a constrained portfolio of concurrent threats.","Define advantage stages, use probability distributions, add resource capacity, cross-domain escalation, and separate technical finding from response execution.","Multi-threat exercise showing positive P10 advantage minus P90 response margin under N-1 loss, decoys, false positives, and compromised telemetry.","Medium. The exact integrated inequality may be useful, but novelty and sufficiency are unproven.","The criterion is an integration hypothesis assembled from mature timeliness, latency, coercion, verification, and crisis-response literatures."
OA-003,Compliance dividend,Derived synthesis,Established policy family; bundled-service synthesis,L02-001;L02-003;L04-005;L06-001;L06-002;L07-004;L13-002,L06-001;L06-002;L02-003;L07-004;L16-005,L02-002;L02-004;L04-002;L13-003;L13-004,"Security assurances, economic integration, fuel access, status, norms, and domestic coalitions can alter the value of restraint.",Treats compliance as a contractible service bundle mapped against each function assigned to an arsenal and connected to suspension and restoration rails.,"Disaggregate benefits by motive; include identity, bureaucracy, regime survival, opportunity, and the possibility that latency itself creates bargaining value.",Actor-specific conjoint and case analysis showing which bundle changes real decisions at each program stage without rewarding strategic delay.,High that the component mechanisms are established; medium that a unified service compact improves adoption.,"The contribution is the service-bundle and control-rail integration, not the discovery that assurances or economic benefits can support restraint."
OA-004,Protected rollback,Framework-specific institutional design,Case-grounded design synthesis,L04-003;L04-005;L12-001;L12-002;L16-001;L16-003;L16-004;L16-006,L16-003;L16-005;L12-001;L12-002,L04-005;L16-004;L16-006;L05-004,"Disclosure and dismantlement depend on security, compensation, access, verification, material transfer, and confidence that cooperation will not worsen regime survival.",Couples a bounded nuclear cure process to a security standstill and objective restoration schedule while preserving escalation for renewed deception.,"Specify legal guarantors, duration, exceptions, anti-gaming rules, third-party aggression handling, and lessons from post-rollback regime change.","Adversarial state-role tabletop across Libya, South Africa, Ukraine, Kazakhstan, and a current authoritarian case.",Medium. The design addresses a real credibility defect but may be impossible for guarantors to precommit credibly.,"Protected rollback is a proposed synthesis of reversal, CTR, sanctions-settlement, assurance, and verification practices."
OA-005,Findings-consequences separation,Governance synthesis,Established governance principle; interface specification,L07-001;L08-001;L08-002;L17-001;L17-002;L18-002,L08-002;L08-006;L17-001;L18-002,L10-001;L14-002;L17-004;L17-005,"Technical credibility and due process improve when evidence assessment is insulated from coercive political authority, although intelligence and law constrain disclosure.","Defines a federated provenance-bearing packet and constitutional interface between evidence custodians, graded findings, appeals, and authorized response bodies.","Add classified-evidence handling, minority findings, conflict-of-interest rules, appeal latency, intelligence laundering controls, and emergency authorities.","Blind multi-source exercise with a true positive, false positive, state deception, compromised sensor, and politically motivated consequence body.",High that separation is established; medium that the proposed federated packet is administratively viable.,The public claim should emphasize the specific evidence interface and test protocol rather than imply invention of independent technical findings.
OA-006,Automatic restoration,Framework-specific control rail,Potentially distinctive operationalization; weakly mapped literature,L04-005;L05-004;L17-001;L17-002,L17-001;L04-005,L05-004;L17-002;L17-005,"Open-ended punishment discourages disclosure, while credible cure conditions can support compliance; however political actors often resist precommitted relief.",Makes step-down logic as executable as escalation by binding each reversible measure to evidence-based cure and reinstatement conditions.,"Map domestic legal authority, waiver powers, legislative vetoes, snapback conflicts, irreversible third-party measures, and partial cure.","Draft one complete legal instrument and simulate compliance, disputed cure, political turnover, and a legislature refusing restoration.","Low to medium. This is one of the more plausible integration deltas, but the legal and sanctions literatures remain under-swept.",Automatic restoration is a proposed control rail whose novelty and legal feasibility remain open.
OA-007,Conversion before reductions,Political-economy control criterion,Strong prior art; sequencing hypothesis,L12-001;L12-002;L12-003;L12-004;L12-005;L02-001,L12-001;L12-002;L12-003;L12-005,L04-001;L09-001;L12-003;L12-005,"Conversion and successor missions can redirect constituencies and expertise, but may also preserve latent capability and institutional veto power.",Treats funded conversion as a gate prerequisite and security control rather than an after-the-fact compensation program.,Measure whether successor missions reduce political lock-in without retaining an immediately reversible weapons estate.,"Comparative study of CTR, CRDF, OPCW conversion, base closure, and nuclear-laboratory mission shifts with relapse indicators.",High that conversion is established; medium that strict 'before reductions' sequencing is generally necessary.,"The claim is a sequencing hypothesis built on CTR, defense-conversion, and treaty-conversion experience."
OA-008,Strategically complete coverage,Framework-specific gate criterion,Regional-security synthesis; threshold unvalidated,L02-004;L03-001;L06-002;L09-002;L15-001;L17-004,L02-004;L06-002;L15-001;L15-006,L04-006;L13-004;L17-003;L17-004,"Excluded rivals, suppliers, patrons, allies, and sanctuaries can preserve hedging incentives or help programs survive.",Defines coverage by the ability to reset the security equilibrium rather than percentage of states or treaty signatures.,"Operationalize reset capacity, allow risk-reducing partial regimes, and treat coverage as probabilistic and endogenous.","Regional network model for South Asia, Western Pacific, Middle East, and Euro-Atlantic systems with leave-one-actor-out stress tests.",Medium. Functional coverage is useful, but a bright threshold may be unknowable and politically unattainable.,"Strategically complete coverage is a proposed gate metric, not an established universal threshold."
OA-009,Managed latency,"Established field, framework-specific end state",Mature field; end-state integration hypothesis,L04-001;L04-002;L04-003;L07-003;L09-001;L09-002;L09-006,L07-003;L09-002;L09-006;L08-002,L04-001;L04-002;L04-004;L09-001;L14-006,"Knowledge persists, while material, facilities, delivery systems, mobilization, and political signaling determine reconstitution and leverage.","Combines visible symmetric latency with a measured portfolio response margin and a complete service, security, and conversion system.","Treat latency itself as potential coercive advantage; include delivery systems, survivability, supplier networks, and political legibility.","Simulate and tabletop a zero-world crisis in which multiple states exploit latent capability, signaling, withdrawal, and delivery-system readiness.",High that the problem is mature; low to medium that the proposed managed-latency equilibrium is stable.,No novelty claim should attach to managed latency. The research question is whether portfolio breakout parity can make a known end-state problem operationally governable.
OA-010,MAD retirement test,Framework-specific acceptance test,Functional integration hypothesis,L01-002;L01-003;L02-001;L06-001;L09-002;L13-001;L13-005,L06-001;L07-003;L09-002;L12-001,L01-002;L01-004;L02-002;L13-003;L14-006,"Arsenals perform security, alliance, bargaining, status, identity, bureaucratic, and order-maintenance functions that may not share one substitute.",Makes zero an acceptance-test outcome reached only when every unique arsenal function has a qualified replacement.,"Expand the motive-substitution matrix to symbolic, identity, regime, bargaining, and order functions; allow some functions to be normatively rejected rather than replaced.","Apply the test to one real nuclear posture with adversarial experts from deterrence, alliance, domestic-politics, norms, and organizational schools.",Medium. The functional framing is useful, but completeness and substitutability are unproven.,"The contribution is an integrated acceptance test, not a new account of nuclear motives or deterrence."
