claim_id,short_name,classification,exact_claim,mechanism,antecedents,framework_contribution,falsification_test,responsible_actors,first_action,canonical_source
OA-001,Interdiction recurrence,Derived synthesis,"Destroying a current inventory or facility does not end proliferation when technical knowledge, strategic motive, restart capacity, and political grievance remain.",Physical interdiction resets material progress while leaving the causes and reconstruction path intact. Repeated coercive intervention can improve concealment and increase the value assigned to a successful breakout.,Counterproliferation literature; preventive-strike debates; safeguards history; sanctions and rollback cases.,Treats restart conditions as a control variable and makes recurrence an explicit program failure rather than an external surprise.,"Show a class of cases in which inventory destruction, without incentive change, continuing monitoring, or material control, reliably prevents reconstitution over the relevant strategic horizon.",Counterproliferation planners; safeguards authorities; sanctions designers; regional security providers,Red-team the recurrence model against historical cases and publish exceptions.,EXECUTABLE_TRANSITION_PROGRAM.md sections 1-2; MODEL_SPEC.md
OA-002,Breakout-parity inequality,Framework-specific control criterion,"A nonproliferation regime defeats breakout only when detection, technical attribution, and effective response complete before a violator can convert breakout into coercive advantage.","The governing inequality is T_detect + T_attribute + T_respond < T_breakout_to_coercive_advantage. The response may begin with reversible inspection, service, financial, procurement, and defensive measures rather than force.",Breakout-time analysis; safeguards timeliness goals; arms-control verification; crisis-response planning.,"Moves the comparison from time-to-material or time-to-bomb to time-to-coercive-advantage, and includes institutional adjudication and response latency.",Demonstrate that a slower detection and response chain still denies coercive advantage across the shortest credible breakout scenario.,IAEA safeguards; CTBTO/NDCs; national intelligence; technical findings bodies; defense and economic response coalitions,Build a case-specific latency budget and exercise the full detect-to-reversible-response chain.,GATE_ACCEPTANCE_TESTS.csv G2; RESPONSE_AND_RESTORATION.md
OA-003,Compliance dividend,Derived synthesis,"Compliance becomes durable only when it supplies a superior package of security, energy reliability, finance, status, scientific access, and institutional continuity than concealed hedging or possession.",Participation creates concentrated, contractible benefits that are suspended predictably for noncompliance and restored predictably after cure.,NPT peaceful-use bargain; fuel-assurance mechanisms; alliance assurance; sanctions relief; development finance conditionality.,Integrates these benefits into one participation product and tests them against the functions assigned to nuclear weapons.,"Identify decisive actors for whom the complete compliance package remains materially inferior to nuclear acquisition, then specify the missing service.",IAEA; World Bank and regional banks; fuel suppliers; insurers; utilities; security guarantors; member governments,Price and stress-test a multi-supplier nuclear-services compact for one participating utility and state.,COMPACT_TERM_SHEET.md; MOTIVE_SUBSTITUTION.csv; ACTION_REGISTER.csv A07-A12
OA-004,Protected rollback,Framework-specific institutional design,A state must be able to disclose and reverse a prohibited activity without the disclosure itself becoming a predictable pathway to regime removal.,"A bounded safe-harbor process freezes activity, preserves evidence, enables managed access and material transfer, converts facilities, protects against opportunistic exploitation, and terminates if deception continues.",Voluntary disclosure programs; sanctions settlements; verified dismantlement cases; safeguards corrective action.,Couples nuclear cure with a security standstill and an objective restoration schedule while preserving consequences for repeated deception.,Show that threatened regimes disclose early at comparable rates when disclosure predictably increases existential vulnerability.,Participating governments; IAEA; sanctions authorities; security guarantors; rollback secretariat,Run a confidential tabletop with a state-role red team and test whether disclosure is a rational choice at each inject.,RESPONSE_AND_RESTORATION.md; ACTION_REGISTER.csv A10
OA-005,Findings-consequences separation,Governance synthesis,"Technical findings must be evidence-based, reproducible, and institutionally separate from the decision to impose political, economic, defensive, or military consequences.","Evidence custodians produce provenance-bearing packets; an independent panel grades findings and uncertainty; legally authorized bodies choose consequences. No target state vetoes a finding about itself, and the technical panel does not command force.",Safeguards reporting; CTBTO technical analysis; regulatory adjudication; intelligence assessment practice; due-process design.,Defines a federated evidence interface and a constitutional boundary between fact production and coercive authority.,"Show that a unified body can retain scientific credibility, due process, and restraint while also controlling sanctions and force under adversarial political conditions.",IAEA; CTBTO; national laboratories; intelligence providers; verification institutes; compact parties,"Blind-test the evidence schema on a false positive, a concealed anomaly, compromised telemetry, and denied access.",GOVERNANCE_AND_DATA_TRUST.md; WORK_PACKAGES.csv WP09-WP10
OA-006,Automatic restoration,Framework-specific control rail,Every reversible penalty should have objective cure conditions and a scheduled step-down so corrected compliance does not require a fresh grand bargain.,"The same legal instrument that activates service holds, procurement restrictions, financial measures, or monitoring enhancements specifies the evidence required to unwind them.",Sanctions snapback and waiver practice; contractual cure periods; regulatory consent orders.,Makes restoration as executable as escalation and treats irreversible punishment as a proliferation incentive.,"Demonstrate that discretionary, politically renegotiated relief produces equally reliable early disclosure and cure.",Compact legislatures and executives; finance ministries; suppliers; insurers; rollback secretariat,"Draft one measure from trigger through cure, audit, and automatic reinstatement, then test it legally.",RESPONSE_AND_RESTORATION.md; GATE_ACCEPTANCE_TESTS.csv G1-G2
OA-007,Conversion before reductions,Political-economy control criterion,"Successor missions and transition finance for arsenal laboratories, production sites, bases, contractors, workers, and host communities must be legally committed before binding reductions concentrate losses.","Milestone-based escrow funds verification, cleanup, energy, medical, monitoring, space, resilience, and conventional-defense missions as arsenal work contracts.",Defense conversion; base realignment; chemical-weapons facility conversion; just-transition finance.,Treats domestic arsenal institutions as control-system actors whose incentives can restore or defeat the transition.,Show durable reductions that survive elections and crises despite unfunded concentrated losses in the institutions capable of reconstitution.,Legislatures; finance ministries; nuclear laboratories; defense ministries; unions; host communities; development banks,Create a conversion-estate inventory and appropriate protected escrow before negotiating workforce contraction.,CONVERSION_FINANCE_FACILITY.md; ACTION_REGISTER.csv; GATE_ACCEPTANCE_TESTS.csv G4
OA-008,Strategically complete coverage,Framework-specific gate criterion,"Deep reductions are safe only when every actor, alliance relationship, supplier path, and sanctuary capable of resetting the relevant security equilibrium is included or covered by a credible substitute.",The framework evaluates strategic systems rather than signature counts. An excluded actor that can recreate the motive for hedging blocks progression at the current gate.,Regional security-complex analysis; arms-control participation requirements; alliance assurance.,Defines coverage functionally and uses it as a stop condition rather than an aspiration.,"Show a case in which a decisive excluded actor can reset force planning but covered states nonetheless sustain deep, verified reductions without replacement hedging.",Nuclear powers; affected allies; regional guarantors; supplier coalitions; treaty parties,Map one regional equilibrium and name every actor capable of resetting it.,REGIONAL_DEPLOYMENT_PATHS.md; GATE_ACCEPTANCE_TESTS.csv G3-G5
OA-009,Managed latency,"Established field, framework-specific end state","Nuclear knowledge cannot be erased; the attainable end state is one in which material and industrial reconstitution paths are visible, bounded, symmetric, slow, and unable to produce unilateral coercive advantage.","Continuing material custody, facility monitoring, procurement visibility, withdrawal-surviving obligations, and collective defensive response turn retained competence into managed latency rather than an operational arsenal.",Nuclear latency literature; safeguards; fissile-material control; post-disarmament verification studies.,Connects latency to a measurable coercive-advantage margin and to a complete service and security replacement system.,"Show that knowledge elimination is feasible, or that visible symmetric latency cannot be stabilized even when response remains faster than reconstitution.",Nuclear powers; IAEA; future warhead verification directorate; material custodians; regional security coalitions,Run a withdrawal and reconstitution simulation against the shortest credible response margin.,MAD_RETIREMENT_ROADMAP.md; GATE_ACCEPTANCE_TESTS.csv G5
OA-010,MAD retirement test,Framework-specific acceptance test,"MAD is retired only when operational nuclear forces no longer supply a unique security, alliance, status, energy, or domestic-continuity service that the replacement architecture cannot deliver more reliably.","Each nuclear motive is paired with a tested substitute, and the system is held at its current gate whenever a unique function remains.",Deterrence mission analysis; assurance studies; disarmament sequencing; institutional transition design.,Converts abolition from a numerical endpoint into a functional acceptance test.,"Identify a residual unique function after all stated gate conditions pass, or show that the test cannot distinguish stable zero from brittle zero.",National security councils; alliances; legislatures; treaty institutions; independent inspectors general,Apply the motive-substitution matrix to one nuclear posture and publish the unfilled functions.,MOTIVE_SUBSTITUTION.csv; MAD_RETIREMENT_ROADMAP.md
