experiment_group,case,runs,p_any_breach,p10_margin_months,median_margin_months,mean_restoration_on_time,passes_lab_gate,passes_recommended_operational_gate,finding
entry_gate,premature_six_hidden_extreme,500,0.644,-38.0,-5.0,0.9955928571428572,0,0,Strong controls cannot recover a transition that begins with several hidden programmes.
entry_gate,qualified_disruptive_extreme,500,0.042,6.0,19.0,0.9945666666666667,1,1,Qualified entry passes the recommended gate under disruptive technology.
entry_gate,qualified_transformative_extreme,500,0.082,2.0,17.0,0.9947,1,0,Qualified entry clears the original lab gate with only a narrow reserve under transformative technology.
entry_gate,one_preexisting_network_holdout,500,0.53,-32.1,-1.0,0.9942285714285714,0,0,One hidden network programme defeats the qualified-entry transition.
large_fixed,large_fixed_disruptive,2500,0.0384,7.0,19.0,0.9957,1,1,Large-sample fixed calibration.
large_fixed,large_fixed_transformative,2500,0.0748,2.0,17.0,0.9942790476190475,1,0,Large-sample fixed calibration.
adverse_bound_large,calibration_13_transformative,1200,0.01,11.0,22.0,0.9984583333333334,1,1,Adverse-bound controller rerun at larger sample size.
adverse_bound_large,calibration_26_limited,1200,0.0175,12.0,25.0,0.9971388888888888,1,1,Adverse-bound controller rerun at larger sample size.
adverse_bound_large,calibration_28_disruptive,1200,0.005833333333333334,13.0,25.0,0.996638888888889,1,1,Adverse-bound controller rerun at larger sample size.
red_team,compressed_transformative,400,0.1225,-2.0,12.0,0.9992261904761905,0,0,Transformative clock compression remains outside the tested controllable envelope.
red_team,decoy_sensor_attack_transformative,400,0.05,7.0,21.0,0.9971428571428572,1,1,Independent signal redundancy preserves the gate under severe decoy and sensor attack.
red_team,capacity_collapse_disruptive,400,0.0475,4.0,17.0,1.0,1,0,The original gate passes but the stronger six-month operating reserve does not.
red_team,one_preexisting_network_holdout,400,0.46,-30.0,2.0,0.9991666666666665,0,0,A hidden network holdout defeats the transition.
red_team,two_preexisting_sheltered_network,400,0.53,-37.0,-1.0,0.9973621031746032,0,0,Two hidden holdouts defeat the transition.
saturation,20_covered_25_decoys,250,0.044,7.0,19.0,0.9986505126452496,1,1,The recommended gate passes at this retained stress load.
saturation,30_covered_38_decoys,250,0.06,2.0,14.0,0.9976511944488585,1,0,The recommended operating gate fails before the original lab gate.
saturation,60_covered_75_decoys,250,0.136,-1.0,11.0,0.9977087692671903,0,0,Both gates fail under portfolio saturation.
