revision_id,priority,claim_ids,source_triggers,current_defect,required_state,algorithmic_change,acceptance_test,status
MR-001,P0,OA-001;OA-002;OA-009,L03-001;L04-001;L04-002;L04-004,"One scalar program state per actor collapses hedging, hiding, sprinting, sheltered pursuit, coercive latency, weaponization, delivery, and deployment.",program_strategy; technical_latency_stage; political_legibility; coercive_leverage; delivery_readiness; survivability; concealment_mode,Replace scalar progress with a state machine and strategy-specific transition hazards.,"Historical replay correctly differentiates Japan, West Germany, Iraq, Libya, Iran, North Korea, and South Africa without manual outcome coding.",Specified
MR-002,P0,OA-002;OA-011,C-019;L18-002;L18-006,Response resources are abstractly unlimited and threats do not queue.,inspector_capacity; analyst_capacity; legal_capacity; supplier_capacity; defensive_reinforcement_capacity; queue_length; service_time; N_minus_1_loss,Add a portfolio scheduler that allocates scarce capacity by conservative margin and value of information.,"System remains within target margins during three true threats, two decoys, one sensor outage, and loss of the largest supplier.",Specified
MR-003,P0,OA-002;OA-009,L04-001;L04-002;L04-004,Coercive advantage is treated as occurring after material weapon progress rather than at earlier bargaining stages.,advantage_stage; threat_credibility; restraint_promise_credibility; target_concession_value; rival_preventive_response,Estimate time-to-coercive-advantage separately from time-to-device and time-to-operational-deterrent.,Model reproduces cases where intermediate latency created leverage and cases where greater latency reduced bargaining success.,Specified
MR-004,P0,OA-003;OA-010,L02-001;L02-002;L02-003;L02-004;L13-002,"Motivation is compressed into threat, prestige, grievance, and fuel demand.",security_need; strategic_opportunity; bureaucratic_interest; leader_identity; coalition_orientation; norm_internalization; status_need; regime_survival,Use motive vectors with actor-specific weights and interaction terms rather than a single propensity score.,"Calibration distinguishes cases with similar threats but divergent choices, including Australia/France, Argentina/India, Japan/North Korea, and Iraq/Libya.",Specified
MR-005,P0,OA-002;OA-011;XR-014,L01-005;L10-005;L14-002;L14-003;L14-005,Evidence and communications are assumed intact and independent.,sensor_integrity; provenance_confidence; cyber_compromise; model_disagreement; communication_degradation; correlated_error,"Introduce adversarial evidence corruption, sensor correlation, and degraded-mode adjudication.","False-positive rate and response margin remain within thresholds under poisoned data, compromised telemetry, and one trusted-source failure.",Specified
MR-006,P0,OA-001;OA-002,L05-001;L05-002;L05-004,Interdiction has a mostly fixed grievance-and-delay effect.,intervention_type; physical_damage; knowledge_loss; supplier_loss; organizational_disruption; grievance; adaptation; international_legitimacy,"Estimate conditional intervention outcomes and allow durable termination, delay, adaptation, or acceleration.","Sensitivity analysis identifies conditions under which interdiction dominates, underperforms, or creates recurrence.",Specified
MR-007,P1,OA-003;OA-004;OA-006,L04-005;L05-004;L16-006;L17-002,"Benefits, penalties, and restoration are treated as credible and nonstrategic.",bargain_stage; expected_late_offer; sanction_distribution; cure_credibility; restoration_vetoes; third_party_irreversibility,"Add strategic delay, coalition effects, and partial or failed restoration.",Model exposes cases where generous late deals encourage continued progress and where restoration failure suppresses disclosure.,Specified
MR-008,P1,OA-003;OA-008;OA-010,L06-001;L06-002;L06-003,Alliance coverage is binary and static.,guarantee_credibility; in_theater_forces; economic_dependency; alliance_history; abandonment_risk; entrapment_risk; guarantor_bandwidth,Represent alliance assurance as stage-dependent and resource-constrained.,Simultaneous crises reduce assurance credibility and alter proliferation choices in exposed allies.,Specified
MR-009,P1,OA-005;OA-011,L08-002;L10-001;L17-005,Technical findings have one confidence value and no institutional dissent or appeal.,evidence_packet; source_provenance; classification_level; majority_finding; minority_finding; appeal_time; conflict_of_interest,"Model graded findings, dissent, compartmentation, appeal, and consequence-body misuse.",Blind exercise detects intelligence laundering and preserves a documented minority finding without paralyzing urgent reversible action.,Specified
MR-010,P1,OA-007;OA-009,L12-001;L12-003;L12-005;L09-001,Conversion reduces domestic resistance without preserving latent capability.,workforce_dependence; successor_mission_quality; facility_dual_use; expertise_retention; restart_time; political_veto_power; escrow_performance,Model conversion as both constituency shift and possible reconstitution asset.,A conversion plan passes only if political support rises while conservative restart time does not fall below the response margin.,Specified
MR-011,P1,OA-008;XR-015,L15-001;L15-002;L15-005;L17-006,Actors interact in one global abstract topology.,region; dyad; third_party_link; sanctuary; supplier_patron; local_doctrine; asymmetric_stakes; cross_theater_coupling,"Use layered regional networks connected by suppliers, alliances, and great-power commitments.",Leave-one-actor-out tests identify which excluded node resets each regional equilibrium.,Specified
MR-012,P1,OA-009;OA-010,L09-001;L09-003;L14-006,"Safe zero is an endpoint condition, not a crisis-capable mobilization environment.",latent_mobilization; public_signal; secret_stock; preemption_pressure; rearmament_queue; alliance_reconstitution; withdrawal_clock,Add zero-world mobilization games and rearmament races.,Operational zero fails if any plausible crisis produces a negative portfolio margin or first-mover advantage.,Specified
MR-013,P1,OA-001;OA-002;OA-011,L11-001;L11-002;L11-005;L11-006,Only states can initiate nuclear threat paths.,nonstate_actor; insider_access; theft_path; trafficking_network; sponsor_link; attribution_confidence; improvised_device_progress,Add nonstate and proxy threat objects that interact with state material-control systems.,The system can prioritize and respond to simultaneous state breakout and material-theft threats without assuming a compliance bargain.,Specified
MR-014,P2,OA-002;OA-005;OA-011,L07-001;L07-002;L07-006;L18-002,"Inspection effort does not depend on material type, facility count, access, or significant-quantity timeliness.",material_type; significant_quantity; facility_count; access_delay; inspection_frequency; monitoring_coverage; anomaly_resolution_time,Add risk-informed safeguards effort and resource-allocation optimization.,Inspection schedules meet declared timeliness targets under finite capacity and changing facility portfolios.,Specified
MR-015,P2,OA-010;XR-013,L13-001;L13-002;L13-003;L13-005,Status and legitimacy are secondary scalar incentives.,norm_internalization; taboo_strength; perceived_hierarchy; legal_legitimacy; status_substitute; identity_consistency,Allow normative and identity mechanisms to independently cause restraint or resistance.,Model can produce restraint without material inducement and rejection of materially favorable unequal bargains.,Specified
MR-016,P2,OA-011;XR-018,L18-001;L18-004;L18-005;L18-006,Simulation output is summarized as regime probability without external-validity controls.,model_version; calibration_source; parameter_uncertainty; structural_variant; game_design; participant_type; replication_status,"Create model ensemble, pre-registration, sensitivity dashboard, and explicit forecast prohibition.",Every headline result can be traced to assumptions and survives or fails transparently across structural variants.,Specified
MR-017,P2,OA-012,L17-001;L17-002;L17-003;L17-004;L17-006,Federated institutions are treated as complementary without seam failure.,mandate_overlap; mandate_gap; veto_point; forum_shopping; emergency_owner; appeal_owner; timeout_owner,Model authority routing and failure at every inter-institution interface.,Every anomaly reaches one accountable owner or triggers a documented hold; no seam permits silent expiry.,Specified
MR-018,P2,OA-003;OA-012,L04-006;L17-003;L17-004,The proposed compact's marginal value over the existing regime is assumed.,existing_regime_service; proposed_service; duplication_cost; legitimacy_gain; sponsor_loss; transition_risk,Add a function-by-function institutional marginal-value comparison.,No new body is created unless it closes a measured gap that cannot be repaired inside an existing institution.,Specified
