contradiction_id,claim_ids,contrary_proposition,mechanism,representative_sources,severity,failure_mode,resolution_experiment,status
C-001,OA-010,Secure second-strike deterrence supplies a uniquely robust barrier to great-power war that institutional substitutes cannot match.,Mutual vulnerability removes incentives for conquest and preemption when retaliation is assured.,L01-002;L01-003,Critical,MAD is withdrawn before an equally credible survival guarantee exists.,"Adversarial posture review comparing replacement security under conventional defeat, nuclear coercion, alliance abandonment, and leadership turnover.",Open
C-002,OA-002;OA-010,"Precision sensing and counterforce may make low numbers and latent postures more vulnerable, increasing use-or-lose pressure.",Improved detection and targeting erode survivability and compress decisions.,L01-004;L14-006,Critical,The transition creates brittle forces or latency that encourage preemption.,Technology-varying crisis simulation with survivability confidence and false-targeting uncertainty.,Open
C-003,OA-002;OA-009,Coercive advantage can emerge from latency before an assembled weapon exists.,A credible threat to proliferate and promise to restrain can extract concessions; latent deterrence may also alter rivals' behavior.,L04-001;L04-002;L04-004,Critical,The response clock starts too late because it waits for weaponization.,"Estimate technical, politically legible, coercive, mobilized, weaponized, and deployed thresholds separately in historical cases.",Accepted revision
C-004,OA-001,Some preventive attacks or coercive interventions may produce durable delay or termination.,"Destruction, intimidation, opportunity denial, or organizational disruption can alter capability and incentives.",L05-001;L05-002;L02-006,High,A categorical anti-interdiction claim rejects an effective option.,Case-coded survival analysis of intervention outcomes and restart determinants.,Accepted revision
C-005,OA-003;OA-006,"Sanctions and benefits can harden resolve, empower inward-looking coalitions, or reward strategic delay.",Distributional effects and anticipated late bargains change domestic incentives.,L02-003;L04-005;L05-004,High,The compliance product finances or legitimizes continued hedging.,Stage-specific bargain model with coalition effects and anti-gaming provisions.,Open
C-006,OA-003;OA-010,"Identity, norms, and emotional beliefs are not reducible to material service bundles.","Leaders and societies interpret weapons as symbols of status, modernity, autonomy, or justice.",L02-002;L13-002;L13-003,High,A materially generous compact leaves the dominant motive untouched.,Actor-specific motive decomposition validated against archival and elite evidence.,Accepted revision
C-007,OA-003;OA-008;OA-010,Security assurances are easier to use before a program begins and may be incredible after sunk costs or during abandonment fears.,"Guarantee credibility depends on deployments, dependence, alliance history, and program stage.",L06-001;L06-002;L06-003,Critical,States retain or acquire arsenals because substitute guarantees are not believed.,"Assurance stress test under guarantor turnover, conventional defeat, and simultaneous crises.",Open
C-008,OA-004,A protected rollback promise may be politically impossible to bind and may conflict with responses to unrelated aggression or repression.,Guarantors cannot credibly precommit future governments or third parties; nuclear cure and broader security disputes interact.,L16-004;L16-006;L17-005,Critical,Potential disclosers infer that rollback increases regime vulnerability and conceal until deterrence is obtained.,Legal and political tabletop with guarantor succession and third-party attack injects.,Open
C-009,OA-005,"Technical findings cannot always be cleanly separated from politics because intelligence is classified, access is negotiated, and uncertainty affects consequence choices.","Evidence collection, interpretation, disclosure, and response are institutionally entangled.",L08-002;L10-005;L17-005,High,The technical body becomes politicized or the political body launders weak intelligence as a technical finding.,"Compartmented evidence exercise with dissent, appeal, and red-team intelligence provenance.",Open
C-010,OA-006,"Automatic restoration may be noncredible because legislatures, courts, sanctions coalitions, and private actors retain discretion.",Legal authority is fragmented and some consequences are difficult or impossible to reverse.,L05-004;L17-002;L17-005,High,"Cure does not restore benefits, teaching future actors not to disclose.","Draft and litigate a model measure across executive, legislative, allied, and private-sector authority.",Open
C-011,OA-007;OA-009,"Conversion preserves expertise, facilities, and networks that may shorten reconstitution.",Successor missions can retain dual-use human and physical capital.,L09-001;L12-003;L12-005,High,The political constituency changes labels while the restart estate remains intact.,"Conversion audit measuring mission dependence, latent production capability, and restart time.",Open
C-012,OA-007,Requiring conversion finance before reductions may create an indefinite veto or moral hazard.,Arsenal institutions can inflate transition costs and condition disarmament on rents.,L12-001;L12-003,Medium,The gate becomes a subsidy for preserving the weapons estate.,Milestone escrow with independent cost benchmarking and clawbacks.,Open
C-013,OA-008,Partial regimes can reduce risk even when strategically complete coverage is impossible.,"Institutions can create local benefits, learning, and path dependence without controlling every reset actor.",L04-006;L17-003;L17-006,High,An absolute coverage rule blocks valuable partial measures.,Compare marginal risk reduction and hedging displacement under partial versus complete coverage.,Accepted revision
C-014,OA-008;OA-012,Legal symmetry may reduce effectiveness if the existing regime depends on differentiated obligations and hegemonic provision of benefits and enforcement.,Power asymmetry can support institution-building and compliance even while generating legitimacy costs.,L13-004;L17-004,High,A formally equal regime loses the material sponsor that made the old regime function.,"Institutional design comparison of equal governance, weighted authority, and function-specific differentiation.",Open
C-015,OA-009,A zero world with retained capability may produce a more dangerous rearmament and preemption race than stable deterrence.,"Mobilization reveals intent, creates first-mover pressure, and makes small advantages decisive.",L09-001;L09-003,Critical,Managed latency collapses during crisis and creates rapid multi-state rearmament.,"Multi-actor zero-world mobilization game with false alarms, secret stocks, and alliance commitments.",Open
C-016,OA-009;OA-010,"Latency itself can provide security and influence, so eliminating operational arsenals may not eliminate nuclear coercion or arms-race pressure.",Technical capability changes bargaining and rival behavior before weapon deployment.,L04-001;L04-002;L04-006,Critical,Operational zero preserves a coercive nuclear hierarchy in latent form.,Measure political leverage and preventive-response behavior across latency levels.,Accepted revision
C-017,OA-010,"Some arsenal functions are symbolic, identity-based, or order-maintaining and cannot be technically substituted.","Possession can signify sovereignty, status, modernity, alliance rank, or historical justice.",L02-002;L13-003;L13-005,High,The retirement test falsely marks a function as replaced because material security is adequate.,Include symbolic and legitimacy functions in posture-by-posture adversarial review.,Accepted revision
C-018,OA-011,"A successful exercise demonstrates behavior in a designed game, not operational reliability, political adoption, or strategic effectiveness.","Scenarios, rules, participant selection, and facilitator choices shape outcomes.",L18-004;L18-005;L08-004,High,N4 exercise receipts are treated as proof that the regime works.,"Pre-registration, independent replication, alternative teams, and explicit external-validity limits.",Accepted revision
C-019,OA-002;OA-011,"Finite inspectors, analysts, legal authorities, suppliers, and defensive forces can be saturated by simultaneous anomalies and decoys.",Queueing and resource constraints increase response latency and false-positive pressure.,L07-006;L18-002;L18-006,Critical,Every individual threat has a positive nominal margin while the portfolio exceeds response capacity.,"N-1 portfolio saturation test with multiple real threats, decoys, sensor loss, and supplier outage.",New required extension
C-020,OA-002;OA-005;OA-011,"AI and cyber tools can improve detection while simultaneously corrupting evidence, compressing time, and increasing false confidence.",Automation accelerates collection and targeting but introduces opacity, adversarial manipulation, and correlated error.,L14-002;L14-003;L14-005;L14-006,Critical,The system acts faster on less trustworthy evidence.,Human-machine adjudication exercise with adversarial data poisoning and model disagreement.,Open
C-021,OA-003;OA-012,Existing nonproliferation institutions may already produce substantial restraint despite apparent weakness.,"Membership, legitimacy, socialization, assistance, pressure, and selection combine over time.",L04-006;L17-003;L17-004,High,A new architecture duplicates or destabilizes functioning institutions.,"Function-by-function marginal-value analysis against NPT, IAEA, CTBTO, HCoC, IPNDV, CTR, and alliances.",Accepted revision
C-022,OA-002;OA-008;OA-012,Regional orders have asymmetric stakes and doctrines that resist one universal response ladder.,"Actors value territory, regime survival, alliance credibility, and escalation differently across theaters.",L15-001;L15-003;L15-005,High,A globally standardized response produces destabilizing local incentives.,Region-specific implementations with a common evidence kernel and locally parameterized security response.,Open
C-023,OA-001;OA-002;OA-011,"Nonstate actors do not participate in assurance bargains and may exploit state-controlled material, insiders, or trafficking networks.",The compliance dividend changes state behavior but not necessarily terrorist or criminal incentives.,L11-001;L11-002;L11-005;L11-006,Critical,The state regime reaches zero while material leakage creates an independent Omega threat.,"Parallel nonstate threat model with insider, theft, transfer, attribution, and interdiction pathways.",Open
C-024,OA-012,"Federated authority can create forum shopping, seams, vetoes, and accountability gaps rather than resilient specialization.","Multiple institutions have different memberships, mandates, evidence rules, and political sponsors.",L17-001;L17-002;L17-006,High,"Every component is assigned, but no actor owns the cross-system failure.","Authority-mapping tabletop that forces assignment of every seam, appeal, timeout, and emergency decision.",Open
